maxColorValue;uniqueColorCount;withSameNodes;withoutSameNodes
0;1;450;0
1;2;449;1
1;2;448;2
1;2;447;3
1;2;446;4
1;2;445;5
2;3;444;6
2;3;443;7
2;3;442;8
3;4;441;9
3;4;440;10
3;4;439;11
3;4;438;12
3;4;437;13
3;4;436;14
4;5;435;15
4;5;434;16
4;5;433;17
4;5;432;18
4;5;431;19
4;5;430;20
4;5;429;21
4;5;428;22
4;5;427;23
4;5;426;24
4;5;425;25
4;5;424;26
5;6;423;27
5;6;422;28
5;6;421;29
5;6;420;30
5;6;419;31
5;6;418;32
5;6;417;33
6;7;416;34
6;7;415;35
6;7;414;36
6;7;413;37
6;7;412;38
6;7;411;39
6;7;410;40
6;7;409;41
6;7;408;42
6;7;407;43
6;7;406;44
6;7;405;45
6;7;404;46
6;7;403;47
6;7;402;48
6;7;401;49
7;8;400;50
7;8;399;51
7;8;398;52
7;8;397;53
7;8;396;54
7;8;395;55
7;8;394;56
7;8;393;57
7;8;392;58
7;8;391;59
7;8;390;60
7;8;389;61
7;8;388;62
7;8;388;62
8;9;387;63
8;9;386;64
8;9;385;65
9;10;384;66
9;10;384;66
9;10;383;67
9;10;382;68
9;10;382;68
9;10;381;69
9;10;380;70
9;10;379;71
9;10;378;72
9;10;377;73
9;10;376;74
9;10;375;75
9;10;374;76
9;10;373;77
9;10;372;78
9;10;371;79
9;10;370;80
9;10;369;81
9;10;369;81
9;10;368;82
9;10;367;83
9;10;366;84
9;10;366;84
9;10;365;85
9;10;364;86
9;10;363;87
9;10;362;88
9;10;362;88
9;10;362;88
9;10;361;89
9;10;360;90
9;10;360;90
9;10;360;90
9;10;359;91
10;11;358;92
10;11;357;93
10;11;356;94
10;11;355;95
10;11;354;96
10;11;353;97
10;11;352;98
10;11;351;99
10;11;350;100
10;11;349;101
10;11;349;101
10;11;349;101
11;12;348;102
11;12;348;102
11;12;347;103
11;12;346;104
11;12;346;104
11;12;345;105
11;12;345;105
11;12;345;105
11;12;345;105
11;12;344;106
11;12;343;107
11;12;343;107
11;12;342;108
11;12;341;109
11;12;340;110
11;12;339;111
11;12;338;112
12;13;337;113
12;13;336;114
12;13;335;115
12;13;335;115
12;13;334;116
12;13;333;117
12;13;332;118
12;13;331;119
12;13;331;119
12;13;331;119
12;13;331;119
12;13;330;120
13;14;329;121
13;14;328;122
13;14;328;122
13;14;328;122
13;14;327;123
13;14;326;124
13;14;325;125
13;14;324;126
13;14;324;126
